,
the,这
of,的
and,和
to,到
a,一个
in,在
is,是
you,你
are,是
for,为了
that,那
or,或者
it,它
as,作为
be,是
on,在
your,你的
with,和
can,能
have,有
this,这
an,一个
by,经过
not,不是
but,但
at,在
from,从
I,我
they,他们
more,更多的
will,将要
if,如果
some,一些
there,那里
what,什么
about,关于
which,哪个
when,什么时候
one,一
their,他们的
all,全部
also,还
how,如何
many,许多
do,做
has,有
most,最多
people,人们
other,其他
time,时间
so,所以
was,曾是
we,我们
these,这些
may,可能
like,喜欢
use,使用
into,进入
than,比
up,向上
out,出去
who,WHO
them,他们
make,制作
because,因为
such,这样的
through,通过
get,得到
work,工作
even,甚至
different,不同的
its,它是
no,不
our,我们的
new,新的
film,电影
just,只是
only,仅有的
see,看
used,用过的
good,好的
water,水
been,到过
need,需要
should,应该
very,非常
any,任何
history,历史
often,经常
way,方式
well,出色地
art,艺术
know,知道
were,是
then,然后
my,我的
first,第一的
would,会
money,钱
each,每个
over,超过
world,世界
information,信息
map,地图
find,寻找
where,在哪里
much,很多
take,拿
two,二
want,想
important,重要的
family,家庭
those,那些
example,例子
while,尽管
he,他
look,看
government,政府
before,前
help,帮助
between,之间
go,去
own,自己的
however,然而
business,商业
us,我们
great,伟大的
his,他的
being,存在
another,其他
health,健康
same,相同的
study,学习
why,为什么
few,很少
game,游戏
might,可能
think,思考
free,自由的
too,也
had,有
hi,你好
right,正确的
still,仍然
system,系统
after,后
computer,电脑
best,最好的
must,必须
her,她
life,生活
since,自从
could,可以
does,做
now,现在
during,期间
learn,学习
around,大约
usually,通常
form,形式
meat,肉
air,空气
day,天
place,地方
become,变得
number,数字
public,民众
read,读
keep,保持
part,部分
start,开始
year,年
every,每一个
field,场地
large,大的
once,一次
available,可用的
down,向下
give,给
fish,鱼
human,人类
both,两个都
local,当地的
sure,当然
something,某物
without,没有
come,来
me,我
back,后退
better,更好的
general,一般的
process,过程
she,她
heat,热
thanks,谢谢
specific,具体的
enough,足够的
long,长的
lot,很多
hand,手
popular,受欢迎的
small,小的
though,尽管
experience,经验
include,包括
job,工作
music,音乐
person,人
really,真的
although,虽然
thank,感谢
book,书
early,早期的
reading,阅读
end,结尾
method,方法
never,绝不
less,较少的
play,玩
able,有能力的
data,数据
feel,感觉
high,高的
off,离开
point,观点
type,类型
whether,无论
food,食物
understanding,理解
here,这里
home,家
certain,肯定
economy,经济
little,小的
theory,理论
tonight,今晚
law,法律
put,放
under,在下面
value,价值
always,总是
body,身体
common,常见的
market,市场
set,放
bird,鸟
guide,指导
provide,提供
change,改变
interest,兴趣
literature,文学
sometimes,有时
problem,问题
say,说
next,下一个
create,创造
simple,简单的
software,软件
state,状态
together,一起
control,控制
knowledge,知识
power,力量
radio,收音机
ability,能力
basic,基本的
course,课程
economics,经济学
hard,难的
add,添加
company,公司
known,已知的
love,爱
past,过去的
price,价格
size,尺寸
away,离开
big,大的
internet,互联网
possible,可能的
television,电视
three,三
understand,理解
various,各种各样的
yourself,你自己
card,卡片
difficult,难的
including,包括
list,列表
mind,头脑
particular,特别的
real,真实的
science,科学
trade,贸易
consider,考虑
either,任何一个
library,图书馆
likely,可能
nature,自然
fact,事实
line,线
product,产品
care,关心
group,团体
idea,主意
risk,风险
several,一些
someone,某人
temperature,温度
united,团结的
word,单词
fat,胖的
force,力量
key,钥匙
light,光
simply,简单地
today,今天
training,训练
until,直到
major,主要的
name,姓名
personal,个人的
school,学校
top,顶部
current,当前的
generally,一般来说
historical,历史的
investment,投资
left,左边
national,国家的
amount,数量
level,等级
order,命令
practice,实践
research,研究
sense,感觉
service,服务
area,区域
cut,切
hot,热的
instead,反而
least,至少
natural,自然的
physical,身体的
piece,片
show,展示
society,社会
try,尝试
check,查看
choose,选择
develop,发展
second,第二
useful,有用
web,网络
activity,活动
boss,老板
short,短的
story,故事
call,称呼
industry,行业
last,最后的
media,媒体
mental,精神的
move,移动
pay,支付
sport,运动
thing,事物
actually,实际上
against,反对
far,远的
fun,乐趣
house,房子
let,让
page,页
remember,记住
term,学期
test,测试
within,之内
along,沿着
answer,回答
increase,增加
oven,烤箱
quite,相当
scared,害怕的
single,单身的
sound,声音
again,再次
community,社区
definition,定义
focus,重点
individual,个人
matter,事情
safety,安全
turn,转动
everything,一切
kind,种类
quality,质量
soil,土壤
ask,问
board,木板
buy,买
development,发展
guard,警卫
hold,抓住
language,语言
later,之后
main,主要的
offer,提供
oil,油
picture,图片
potential,潜在的
professional,专业的
rather,相当
access,使用权
additional,额外的
almost,几乎
especially,尤其
garden,花园
international,国际的
lower,降低
management,管理
open,打开
player,玩家
range,范围
rate,速度
reason,原因
travel,旅行
variety,种类
video,视频
week,星期
above,多于
according,根据
cook,厨师
determine,决定
future,未来
site,地点
alternative,选择
demand,要求
ever,曾经
exercise,锻炼
following,下列的
image,图像
quickly,迅速地
special,特别的
working,在职的
case,案件
cause,原因
coast,海岸
probably,大概
security,安全
true ,真的 
whole,所有的
action,行动
age,年龄
among,之中
bad,坏的
boat,船
country,国家
dance,舞蹈
exam,考试
excuse,原谅
grow,生长
movie,电影
organization,组织
record,记录
result,结果
section,部分
across,穿过
already,已经
below,以下
building,建筑
mouse,老鼠
allow,允许
cash,现金
class,班级
clear,清除
dry,干燥
easy,简单的
emotional,情绪化的
equipment,设备
live,居住
nothing,没有什么
period,时期
physics,物理
plan,计划
store,店铺
tax,税
analysis,分析
cold,寒冷的
commercial,商业的
directly,直接地
full,满的
involved,涉及
itself,本身
low,低的
old,老的
policy,政策
political,政治的
purchase,购买
series,系列
side,边
subject,主题
supply,供应
therefore,所以
thought,想法
basis,基础
boyfriend,男朋友
deal,交易
direction,方向
mean,意思是
primary,基本的
space,空间
strategy,战略
technology,技术
worth,值得
army,军队
camera,相机
fall,落下
freedom,自由
paper,纸
rule,规则
similar,相似的
stock,库存
weather,天气
yet,然而
bring,带来
chance,机会
environment,环境
everyone,每个人
figure,数字
improve,提升
man,男人
model,模型
necessary,必要的
positive,积极的
produce,生产
search,搜索
source,来源
beginning,开始
child,孩子
earth,地球
else,别的
healthy,健康
instance,实例
maintain,维持
month,月
present,展示
program,程序
spend,花费
talk,讲话
truth,真相
upset,沮丧的
begin,开始
chicken,鸡
close,关闭
creative,有创造力的
design,设计
feature,特征
financial,金融的
head,头
marketing,营销
material,材料
medical,医疗的
purpose,目的
question,问题
rock,岩石
salt,盐
tell,告诉
themselves,他们自己
traditional,传统的
university,大学
writing,写作
act,行为
article,文章
birth,出生
car,车
cost,成本
department,部门
difference,不同之处
dog,狗
drive,驾驶
exist,存在
federal,联邦
goal,目标
green,绿色的
late,晚的
news,消息
object,目的
scale,规模
sun,太阳
support,支持
tend,趋向
thus,因此
audience,观众
enjoy,享受
entire,全部的
fishing,钓鱼
fit,合身
glad,高兴的
growth,生长
income,收入
marriage,婚姻
note,笔记
perform,履行
profit,利润
proper,恰当的
related,有关的
remove,消除
rent,租
return,返回
run,跑步
speed,速度
strong,强的
style,风格
throughout,自始至终
user,用户
war,战争
actual,实际的
appropriate,合适的
bank,银行
combination,组合
complex,复杂的
content,内容
craft,工艺
due,到期的
easily,容易地
effective,有效的
eventually,最终
exactly,确切地
failure,失败
half,一半
inside,里面
meaning,意义
medicine,药品
middle,中间
outside,外部
philosophy,哲学
regular,常规的
reserve,预订
standard,标准
bus,公共汽车
decide,决定
exchange,交换
eye,眼睛
fast,快速地
fire,火
identify,确认
independent,独立的
leave,离开
original,原来的
position,位置
pressure,压力
reach,抵达
rest,休息
serve,服务
stress,压力
teacher,老师
watch,手表
wide,宽的
advantage,优势
beautiful,美丽的
benefit,益处
box,盒子
charge,收费
communication,沟通
complete,完全的
continue,继续
frame,框架
issue,问题
limited,有限的
night,夜晚
protect,保护
require,要求
significant,重要的
step,步
successful,成功的
unless,除非
active,积极的
break,休息
chemistry,化学
cycle,循环
disease,疾病
disk,磁盘
electrical,电气
energy,活力
expensive,昂贵的
face,脸
interested,感兴趣的
item,物品
metal,金属
nation,国家
negative,消极的
occur,发生
paint,画
pregnant,孕
review,审查
road,路
role,角色
room,房间
safe,安全的
screen,屏幕
soup,汤
stay,停留
structure,结构
view,看法
visit,访问
visual,视觉的
write,写
wrong,错误的
account,帐户
advertising,广告
affect,影响
ago,前
anyone,任何人
approach,方法
avoid,避免
ball,球
behind,在后面
certainly,当然
concerned,担心的
cover,覆盖
discipline,纪律
location,地点
medium,中等的
normally,通常情况下
prepare,准备
quick,快的
ready,准备好
report,报告
rise,上升
share,分享
success,成功
addition,添加
apartment,公寓
balance,平衡
bit,少量
black,黑色的
bottom,底部
build,建造
choice,选择
education,教育
gift,礼物
impact,影响
machine,机器
math,数学
moment,片刻
painting,绘画
politics,政治
shape,形状
straight,直的
tool,工具
walk,走
white,白色的
wind,风
achieve,达到
address,地址
attention,注意力
average,平均的
believe,相信
beyond,超过
career,职业
culture,文化
decision,决定
direct,直接的
event,事件
excellent,出色的
extra,额外的
intelligent,聪明的
interesting,有趣的
junior,初级
morning,早晨
pick,挑选
poor,贫穷的
pot,锅
pretty,漂亮的
property,财产
receive,收到
seem,似乎
shopping,购物
sign,符号
student,学生
table,桌子
task,任务
unique,独特的
wood,木头
anything,任何事物
classic,经典的
competition,竞赛
condition,状况
contact,接触
credit,信用
currently,现在
discuss,讨论
distribution,分配
egg,蛋
entertainment,娱乐
final,最终的
happy,快乐的
hope,希望
ice,冰
lift,举起
mix,混合
network,网络
north,北
office,办公室
overall,全面的
population,人口
president,总统
private,私人的
realize,意识到
responsible,负责任的
separate,分离
square,正方形
stop,停止
teach,教
unit,单元
western,西
yes,是的
alone,独自的
attempt,试图
category,类别
cigarette,卷烟
concern,忧虑
contain,包含
context,语境
cute,可爱的
date,日期
effect,影响
extremely,极其
familiar,熟悉的
finally,最后
fly,飞
follow,跟随
helpful,有帮助的
introduction,介绍
link,关联
official,官方的
opportunity,机会
perfect,完美的
performance,表现
post,邮政
recent,最近的
refer,参考
solve,解决
star,星星
voice,嗓音
willing,愿意的
born,出生
bright,明亮的
broad,广阔
capital,首都
challenge,挑战
comfortable,舒服的
constantly,不断地
describe,描述
despite,尽管
driver,司机
flat,平坦的
flight,航班
friend,朋友
gain,获得
him,他
length,长度
magazine,杂志
maybe,或许
newspaper,报纸
nice,好的
prefer,更喜欢
prevent,防止
properly,适当地
relationship,关系
rich,富有的
save,节省
self,自己
shot,射击
soon,很快
specifically,具体来说
stand,站立
teaching,教学
warm,温暖的
wonderful,精彩的
young,年轻的
ahead,前面
brush,刷子
cell,细胞
couple,夫妻
daily,日常的
dealer,经销商
debate,辩论
discover,发现
ensure,确保
exit,出口
expect,预计
experienced,有经验的
fail,失败
finding,发现
front,正面
function,功能
heavy,重的
hello,你好
highly,高度
immediately,立即地
impossible,不可能的
invest,投资
lack,缺少
lake,湖
lead,带领
listen,听
living,活的
member,成员
message,信息
phone,电话
plant,植物
plastic,塑料
reduce,减少
relatively,相对地
scene,场景
serious,严肃的
slowly,慢慢地
speak,说话
spot,点
summer,夏天
taste,品尝
theme,主题
towards,向
track,追踪
valuable,有价值的
whatever,任何
wing,翼
worry,担心
appear,出现
appearance,外貌
association,协会
brain,脑
button,按钮
click,点击
concept,概念
correct,正确的
customer,顾客
death,死亡
desire,欲望
discussion,讨论
explain,解释
explore,探索
express,表达
fairly,相当
fixed,固定的
foot,脚
gas,气体
handle,处理
housing,住房
huge,巨大的
inflation,通货膨胀
influence,影响
insurance,保险
involve,涉及
leading,领导
lose,失去
meet,见面
mood,情绪
notice,注意
primarily,主要是
rain,雨
rare,稀有的
release,发布
sell,卖
slow,慢的
technical,技术的
typical,典型的
upon,之上
wall,墙
woman,女士
advice,建议
afford,买得起
agree,同意
base,根据
blood,血
clean,干净的
competitive,竞争的
completely,完全地
critical,批判的
damage,损害
distance,距离
effort,努力
electronic,电子的
expression,表达
feeling,感觉
finish,结束
fresh,新鲜的
hear,听到
immediate,即时
importance,重要性
normal,普通的
opinion,观点
otherwise,否则
pair,一对
payment,支付
plus,加
press,按
reality,现实
remain,保持
represent,代表
responsibility,责任
ride,骑
savings,储蓄
secret,秘密
situation,情况
skill,技能
spread,传播
spring,春天
staff,职员
statement,陈述
sugar,糖
target,目标
text,文本
tough,艰难的
ultimately,最终
wait,等待
wealth,财富
