English,Chinese
you,你
i,我
the,这
to,到
a,一个
s,s
it,它
and,和
that,那
t,t
of,的
is,是
in,在
what,什么
we,我们
me,我
this,这
he,他
for,为了
my,我的
on,在
have,有
your,你的
do,做
was,曾是
m,米
no,不
not,不是
be,是
are,是
don,大学教师
re,关于
know,知道
can,能
with,和
but,但
all,全部
so,所以
just,只是
there,那里
here,这里
they,他们
like,喜欢
ll,二
get,得到
she,她
go,去
if,如果
right,正确的
out,出去
about,关于
up,向上
at,在
him,他
now,现在
oh,哦
one,一
come,来
well,出色地
her,她
how,如何
yeah,是的
ve,维
will,将要
got,得到
want,想
think,思考
as,作为
see,看
did,做过
good,好的
who,WHO
why,为什么
from,从
let,让
his,他的
yes,是的
when,什么时候
going,去
time,时间
an,一个
okay,好的
back,后退
look,看
us,我们
would,会
them,他们
where,在哪里
were,是
take,拿
then,然后
had,有
or,或者
been,到过
our,我们的
gonna,会
tell,告诉
really,真的
man,男人
some,一些
say,说
hey,嘿
could,可以
d,d
didn,没有
by,经过
need,需要
something,某物
has,有
too,也
more,更多的
way,方式
down,向下
make,制作
very,非常
never,绝不
only,仅有的
people,人们
over,超过
because,因为
little,小的
please,请
love,爱
should,应该
mean,意思是
said,说
sorry,对不起
give,给
off,离开
am,是
thank,感谢
any,任何
two,二
even,甚至
much,很多
doing,正在做
sure,当然
thing,事物
these,这些
help,帮助
first,第一的
into,进入
anything,任何事物
still,仍然
find,寻找
life,生活
nothing,没有什么
sir,先生
day,天
god,上帝
work,工作
their,他们的
uh,呃
again,再次
maybe,或许
must,必须
before,前
other,其他
wait,等待
stop,停止
call,称呼
after,后
won,韩元
talk,讲话
away,离开
than,比
thought,想法
home,家
night,夜晚
put,放
great,伟大的
those,那些
last,最后的
better,更好的
everything,一切
told,告诉
mr.,先生。
new,新的
things,事物
always,总是
keep,保持
long,长的
years,年
leave,离开
does,做
money,钱
around,大约
doesn,不
name,姓名
place,地方
ever,曾经
feel,感觉
guys,伙计们
father,父亲
guy,家伙
made,制成
old,老的
isn,是
which,哪个
big,大的
lot,很多
done,完毕
hello,你好
nice,好的
believe,相信
girl,女孩
someone,某人
fine,美好的
thanks,谢谢
wanted,通缉
kind,种类
coming,未来
house,房子
every,每一个
ok,好的
through,通过
being,存在
course,课程
stay,停留
left,左边
dad,爸爸
enough,足够的
happened,发生了
came,来了
may,可能
mother,母亲
wrong,错误的
world,世界
bad,坏的
might,可能
three,三
today,今天
listen,听
another,其他
understand,理解
hear,听到
remember,记住
ask,问
own,自己的
same,相同的
show,展示
else,别的
kill,杀
talking,说
found,成立
next,下一个
getting,得到
care,关心
car,车
looking,寻找
son,儿子
try,尝试
woman,女士
went,去了
hi,你好
dead,死的
many,许多
mind,头脑
wasn,是
friend,朋友
best,最好的
mom,妈妈
hell,地狱
morning,早晨
trying,尝试
boy,男生
together,一起
yourself,你自己
job,工作
saw,锯
family,家庭
real,真实的
without,没有
baby,婴儿
room,房间
wouldn,不会
already,已经
move,移动
most,最多
seen,见过
live,居住
miss,错过
actually,实际上
huh,呵呵
shit,拉屎
both,两个都
heard,听到
once,一次
ready,准备好
head,头
called,被称为
used,用过的
idea,主意
knew,知道
hold,抓住
happy,快乐的
door,门
such,这样的
fuck,他妈的
brother,兄弟
also,还
pretty,漂亮的
bit,少量
took,采取了
haven,避风港
yet,然而
men,男人
whole,所有的
start,开始
use,使用
while,尽管
since,自从
wife,妻子
days,天
guess,猜测
tomorrow,明天
matter,事情
meet,见面
bring,带来
tonight,今晚
everyone,每个人
run,跑步
wanna,想要
hard,难的
ah,啊
alone,独自的
myself,我
school,学校
gone,消失了
um,嗯
end,结尾
saying,说
phone,电话
play,玩
looks,看起来
couldn,不能
fucking,他妈的
problem,问题
few,很少
friends,朋友们
gotta,必须
ago,前
open,打开
anyone,任何人
killed,被杀
hope,希望
face,脸
until,直到
lost,丢失的
police,警察
excuse,原谅
turn,转动
business,商业
case,案件
wants,想要
says,说
TRUE,真的
die,死
heart,心
soon,很快
each,每个
worry,担心
later,之后
year,年
watch,手表
music,音乐
hand,手
having,拥有
probably,大概
beautiful,美丽的
doctor,医生
sit,坐
eat,吃
thinking,思维
young,年轻的
second,第二
working,在职的
water,水
person,人
part,部分
kids,孩子们
late,晚的
stuff,东西
exactly,确切地
under,在下面
death,死亡
minute,分钟
pay,支付
crazy,疯狂的
forget,忘记
everybody,大家
kid,孩子
change,改变
gave,给了
happen,发生
damn,该死
five,五
drink,喝
far,远的
knows,知道
its,它是
whatever,任何
eyes,眼睛
shut,关闭
aren,是
hit,打
taking,采取
easy,简单的
times,次
check,查看
hands,手
minutes,分钟
deal,交易
different,不同的
means,方法
point,观点
inside,里面
makes,使
asked,问
somebody,某人
mine,矿
making,制作
body,身体
afraid,害怕的
sleep,睡觉
chance,机会
dear,亲爱的
quite,相当
four,四
anyway,反正
close,关闭
ain,艾因
party,派对
fun,乐趣
against,反对
word,单词
comes,来了
important,重要的
set,放
shall,将
story,故事
number,数字
daughter,女儿
least,至少
waiting,等待
hurt,伤害
wish,希望
moment,片刻
fight,斗争
week,星期
husband,丈夫
girls,女孩们
rest,休息
married,已婚
fire,火
game,游戏
nobody,没有人
mr,先生
children,孩子们
side,边
stand,站立
read,读
though,尽管
cut,切
started,开始了
sister,姐姐
supposed,假设
between,之间
child,孩子
goes,去
hours,小时
speak,说话
women,女性
behind,在后面
almost,几乎
truth,真相
blood,血
able,有能力的
lady,女士
anymore,不再
playing,玩
gets,得到
shot,射击
reason,原因
trouble,麻烦
break,休息
war,战争
city,城市
walk,走
town,镇
trust,相信
dr.,博士。
met,遇见
office,办公室
question,问题
brought,带来
yours,你的
welcome,欢迎
high,高的
wow,哇
couple,夫妻
half,一半
died,死了
cool,凉爽的
free,自由的
either,任何一个
seems,似乎
power,力量
whoa,哇哦
bye,再见
buy,买
telling,讲述
honey,蜂蜜
tried,尝试过
front,正面
team,团队
answer,回答
gun,枪
boys,男孩们
line,线
send,发送
news,消息
stupid,愚蠢的
bed,床
hurry,匆忙
full,满的
months,月
save,节省
sometimes,有时
become,变得
along,沿着
hate,恨
food,食物
outside,外部
light,光
l,我
needs,需要
dog,狗
country,国家
clear,清除
order,命令
em,嗯
fact,事实
lord,主
captain,队长
six,六
hot,热的
funny,有趣的
black,黑色的
mrs.,太太。
alive,活
pick,挑选
feeling,感觉
living,活的
cause,原因
ahead,前面
lose,失去
king,国王
plan,计划
dinner,晚餐
sighs,叹息
sort,种类
leaving,离开
shouldn,应该
running,跑步
boss,老板
alright,好吧
promise,承诺
taken,采取
safe,安全的
ma,马
book,书
sent,发送
white,白色的
hour,小时
anybody,任何人
small,小的
perfect,完美的
cause,原因
lives,生活
special,特别的
parents,父母
s,s
john,约翰
himself,他自己
perhaps,也许
sounds,声音
serious,严肃的
sick,生病的
company,公司
ha,哈
scared,害怕的
uncle,叔叔
poor,贫穷的
red,红色的
past,过去的
earth,地球
possible,可能的
shoot,射击
touch,触碰
sound,声音
top,顶部
ass,屁股
laughs,笑
cannot,不能
asking,询问
win,赢
glad,高兴的
control,控制
hmm,唔
human,人类
drive,驾驶
hair,头发
jack,杰克
bitch,母狗
luck,运气
murder,谋杀
happens,发生
air,空气
ten,十
daddy,爸爸
finally,最后
chuckles,咯咯笑
fast,快速地
cold,寒冷的
seem,似乎
laughing,笑
words,字
hospital,医院
street,街道
hang,悬挂
dance,舞蹈
meeting,会议
till,直到
others,其他的
catch,抓住
follow,跟随
sense,感觉
sex,性别
lie,说谎
evening,晚上
master,掌握
known,已知的
dream,梦
write,写
million,百万
voice,嗓音
sweet,甜的
rather,相当
felt,毛毡
sign,符号
lucky,幸运的
somewhere,某处
bet,赌注
o,哦
jesus,耶稣
longer,更长
calling,呼叫
worked,工作过
quiet,安静的
looked,看起来
less,较少的
pull,拉
beat,打
careful,小心
coffee,咖啡
return,返回
secret,秘密
weeks,周
weren,是
date,日期
seeing,看见
fall,落下
given,给定
ooh,哦
fault,过错
straight,直的
takes,需要
song,歌曲
future,未来
gentlemen,先生们
loved,爱过
changed,改变了
road,路
calm,冷静的
wonderful,精彩的
mad,疯狂的
turned,转身
drop,降低
ladies,女士们
learn,学习
step,步
absolutely,绝对地
early,早期的
explain,解释
clean,干净的
piece,片
yesterday,昨天
throw,扔
picture,图片
land,土地
feet,脚
wonder,想知道
questions,问题
speaking,请讲
worth,值得
darling,亲爱的
dude,老兄
giving,给予
president,总统
eye,眼睛
quick,快的
moving,移动
figure,数字
state,状态
strong,强的
sam,萨姆
none,没有任何
amazing,惊人的
ones,那些
works,作品
act,行为
needed,需要的
weird,诡异的
law,法律
worried,担心
report,报告
goodbye,再见
missing,丢失的
choice,选择
happening,正在发生
chief,首席
wedding,婚礼
strange,奇怪的
general,一般的
pain,疼痛
am,是
kidding,开玩笑
decided,决定
ya,呀
pass,经过
tired,疲劳的
class,班级
officer,官
kept,保留
wake,唤醒
worse,更糟
busy,忙碌的
eh,呃
mistake,错误
kiss,吻
court,法庭
building,建筑
finish,结束
during,期间
age,年龄
ship,船
caught,捕捉
marry,结婚
meant,意思是
sell,卖
dark,黑暗的
watching,观看
system,系统
suppose,认为
evidence,证据
movie,电影
ride,骑
t,t
completely,完全地
mouth,嘴
totally,完全
birthday,生日
tv,电视
forgive,原谅
born,出生
imagine,想象
information,信息
instead,反而
definitely,确实
security,安全
certainly,当然
film,电影
month,月
lying,说谎
unless,除非
train,火车
seven,七
wear,穿
clothes,衣服
michael,迈克尔
hotel,酒店
christmas,圣诞节
attack,攻击
hasn,还没有
round,圆形的
expect,预计
sing,唱歌
terrible,糟糕的
george,乔治
bag,包
history,历史
blue,蓝色的
near,靠近
broke,坏了
station,车站
seriously,严重地
forever,永远
david,大卫
frank,坦率
except,除了
thinks,认为
message,信息
entire,全部的
joe,乔
table,桌子
talked,谈过
across,穿过
rock,岩石
lovely,迷人的
handle,处理
middle,中间
buddy,伙伴
paid,有薪酬的
protect,保护
using,使用
floor,地面
ran,跑
swear,发誓
spend,花费
situation,情况
ring,戒指
anywhere,任何地方
dangerous,危险的
bill,账单
york,约克
army,军队
lead,带领
bought,买
finished,完成的
fair,公平的
sun,太阳
letter,信
fool,傻子
attention,注意力
club,俱乐部
simple,简单的
interesting,有趣的
space,空间
test,测试
box,盒子
group,团体
single,单身的
sitting,坐着
marriage,婚姻
